Titre,Prix_Total,Surface_m2,Prix_m2,Lieu,Lien
Tanah,Rp 15 Miliar,10000,1500000,Tanah Rp 15 Miliar Total Harga per m² Rp 1 5 Juta HARGA TERBAIK! Tanah Kawasan Kubutambahan  Luas 10000m2m²  Lokasi Strategis Kubutambahan  Buleleng,https://www.99.co/id/properti/tanah-dijual-15mily-kubutambahan-cp-1008981194
8,"Rp 9,4 Miliar",1440,65277778,8  Tanah Rp 9 4 Miliar Total Harga per m² Rp 6 5 Juta,https://www.99.co/id/properti/tanah-dijual-9mily-ubud-cp-1005210959
Tanah,"Rp 9,4 Miliar",1440,65277778,Tanah Rp 9 4 Miliar Total Harga per m² Rp 6 5 Juta HOT DEAL! Tanah di Ubud  Luas 1440m2m²  Lokasi Strategis Ubud  Gianyar,https://www.99.co/id/properti/tanah-dijual-9mily-ubud-cp-1005210959
Tanah,"Rp 9,4 Miliar",1440,65277778,Tanah Rp 9 4 Miliar Total Harga per m² Rp 6 5 Juta HOT DEAL! Tanah di Ubud  Luas 1440m2m²  Lokasi Strategis Ubud  Gianyar,https://www.99.co/id/properti/tanah-dijual-9mily-ubud-cp-1005210959
7,"Rp 13,9 Miliar",3980,34924623,7  Tanah Rp 13 9 Miliar Total Harga per m² Rp 3 5 Juta,https://www.99.co/id/properti/tanah-los-pantai-murah-di-klungkung-1009502010
Tanah,"Rp 13,9 Miliar",3980,34924623,Tanah Rp 13 9 Miliar Total Harga per m² Rp 3 5 Juta For Sale Tanah di Jumpai  Luas 3980m2m²  Dekat Jumpai  Semarapura  Semarapura   Bali,https://www.99.co/id/properti/tanah-los-pantai-murah-di-klungkung-1009502010
Tanah,"Rp 13,9 Miliar",3980,34924623,Tanah Rp 13 9 Miliar Total Harga per m² Rp 3 5 Juta For Sale Tanah di Jumpai  Luas 3980m2m²  Dekat Jumpai  Semarapura  Semarapura   Bali,https://www.99.co/id/properti/tanah-los-pantai-murah-di-klungkung-1009502010
7,"Rp 45,2 Miliar",3480,129885057,7  Tanah Rp 45 2 Miliar Total Harga per m² Rp 13 Juta,https://www.99.co/id/properti/dijual-tanah-di-cemagi-canggu-1011138457
Tanah,"Rp 45,2 Miliar",3480,129885057,Tanah Rp 45 2 Miliar Total Harga per m² Rp 13 Juta TANAH POTENSIAL! Tanah di Cemagi  Luas 3480m²  Pinggir Jalan Utama Cemagi  Badung,https://www.99.co/id/properti/dijual-tanah-di-cemagi-canggu-1011138457
Tanah,"Rp 45,2 Miliar",3480,129885057,Tanah Rp 45 2 Miliar Total Harga per m² Rp 13 Juta TANAH POTENSIAL! Tanah di Cemagi  Luas 3480m²  Pinggir Jalan Utama Cemagi  Badung,https://www.99.co/id/properti/dijual-tanah-di-cemagi-canggu-1011138457
